MET,	Altitude,	Pressure,	Temperature,	DeltaH,	Acceleration X,	Y,	Z,	Orientation X,	Y,	Z,	GPS Latitude,	GPS Longitude,	Software State
0:0:39,88.43,101374.00,26.20,0.83,-9.67,-0.40,-0.21,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:39,87.77,101372.00,26.20,-0.66,-9.68,-0.39,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:39,88.10,101373.00,26.20,0.33,-9.67,-0.38,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:39,87.85,101377.00,26.20,-0.25,-9.69,-0.41,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:39,87.60,101375.00,26.20,-0.25,-9.67,-0.39,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:39,87.77,101376.00,26.20,0.17,-9.68,-0.40,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:39,87.60,101381.00,26.20,-0.17,-9.68,-0.39,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:40,87.60,101381.00,26.20,0.00,-9.66,-0.37,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:40,87.77,101381.00,26.20,0.17,-9.68,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:40,87.68,101378.00,26.20,-0.08,-9.67,-0.39,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:40,87.68,101377.00,26.20,0.00,-9.66,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:40,87.60,101378.00,26.20,-0.08,-9.68,-0.42,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:40,87.77,101380.00,26.20,0.17,-9.66,-0.38,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:40,87.60,101374.00,26.20,-0.17,-9.68,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:40,88.18,101372.00,26.20,0.58,-9.68,-0.38,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:41,88.01,101379.00,26.20,-0.17,-9.69,-0.39,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:41,88.10,101374.00,26.20,0.08,-9.68,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
